outcome,state_sample,edu_sample,age_sample,pre_period,ctrl_demo,ctrl_unemp,ctrl_mw,tau,se,ci_lower,ci_upper,n_obs,pre_mean,significant
part_time_y,No EITC Change,Low Education,Age 20-49,Excl. 2010-11,0,0,1,3.769717,.64386886,2.5077341,5.0317001,408840,19.245716,1
part_time_y,No EITC Change,Low Education,Age 20-49,Excl. 2010-11,1,1,0,3.1373689,.6733759,1.8175522,4.4571857,408840,19.245716,1
part_time_y,No EITC Change,Low Education,Age 20-49,Excl. 2010-11,0,1,0,3.1973736,.64779836,1.9276887,4.4670582,408840,19.245716,1
part_time_y,No EITC Change,Low Education,Age 20-49,Excl. 2010-11,1,0,0,2.8934321,.39437047,2.120466,3.6663983,408840,19.245716,1
part_time_y,No EITC Change,Low Education,Age 20-49,Excl. 2010-11,0,0,0,3.0296071,.38041446,2.2839947,3.7752192,408840,19.245716,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,1,1,1,-2.9181874,.69741702,-4.2851248,-1.5512501,456516,56.181305,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,0,1,1,-2.0184619,.60291433,-3.2001739,-.83674979,591182,56.181305,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,1,0,1,-3.3997755,.56484652,-4.5068746,-2.2926764,456516,56.181305,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,0,0,1,-2.3348696,.47568282,-3.2672079,-1.4025313,591182,56.181305,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,1,1,0,-2.5639133,.75230795,-4.0384369,-1.0893897,456516,56.181305,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,0,1,0,-1.8378822,.6523785,-3.116544,-.55922025,591182,56.181305,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,1,0,0,-3.0581188,.63210475,-4.2970443,-1.8191935,456516,56.181305,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Incl. 2010-11,0,0,0,-2.1615314,.52372706,-3.1880364,-1.1350265,591182,56.181305,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,1,1,1,-3.1170969,.75402135,-4.5949788,-1.6392151,369974,56.433887,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,0,1,1,-2.6203489,.89066046,-4.3660436,-.87465441,369974,56.433887,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,1,0,1,-3.4296932,.6931656,-4.7882981,-2.0710888,369974,56.433887,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,0,0,1,-3.0223203,.82268,-4.6347733,-1.4098675,369974,56.433887,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,1,1,0,-2.5569,.82355702,-4.171072,-.94272834,369974,56.433887,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,0,1,0,-2.0137999,.90849012,-3.7944405,-.2331592,369974,56.433887,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,1,0,0,-2.8948219,.79692078,-4.4567866,-1.332857,369974,56.433887,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Incl. 2010-11,0,0,0,-2.4403336,.89872497,-4.2018342,-.67883259,369974,56.433887,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,1,1,1,-4.1620526,.73359835,-5.5999055,-2.7242,264545,50.600975,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,0,1,1,-3.2080877,.57244724,-4.3300843,-2.0860913,346421,50.600975,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,1,0,1,-4.3990178,.6514045,-5.6757708,-3.1222651,264545,50.600975,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,0,0,1,-2.9016976,.46280837,-3.8088021,-1.9945931,346421,50.600975,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,1,1,0,-3.3938582,.8399086,-5.0400791,-1.7476374,264545,50.600975,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,0,1,0,-2.8152742,.57391238,-3.9401426,-1.6904061,346421,50.600975,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,1,0,0,-3.6901252,.77949911,-5.2179437,-2.162307,264545,50.600975,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Incl. 2010-11,0,0,0,-2.5573204,.54699492,-3.6294305,-1.4852104,346421,50.600975,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,1,1,1,-4.2655888,.7864446,-5.8070202,-2.7241571,211364,50.991322,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,0,1,1,-4.1854067,.80816311,-5.7694063,-2.6014071,211364,50.991322,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,1,0,1,-4.4953747,.8388828,-6.1395845,-2.8511643,211364,50.991322,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,0,0,1,-4.3807049,.87683201,-6.0992956,-2.6621139,211364,50.991322,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,1,1,0,-3.0841873,.90394288,-4.8559155,-1.3124592,211364,50.991322,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,0,1,0,-2.9984226,.88063473,-4.7244668,-1.2723786,211364,50.991322,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,1,0,0,-3.4076087,1.052276,-5.4700694,-1.3451477,211364,50.991322,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Incl. 2010-11,0,0,0,-3.2883403,1.0491451,-5.3446646,-1.232016,211364,50.991322,1
full_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,1,1,1,-3.0476778,.52429456,-4.075295,-2.0200605,1000867,56.181305,1
full_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,0,1,1,-2.5102236,.43140367,-3.3557749,-1.6646725,1303835,56.181305,1
full_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,1,0,1,-3.2472348,.47682559,-4.1818128,-2.3126566,1000867,56.181305,1
full_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,0,0,1,-2.528141,.41544053,-3.3424044,-1.7138776,1303835,56.181305,1
full_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,1,1,0,-2.4836576,.43702719,-3.3402307,-1.6270843,1000867,56.181305,1
full_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,0,1,0,-2.3978395,.34674567,-3.077461,-1.718218,1303835,56.181305,1
full_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,1,0,0,-2.6581519,.35328695,-3.3505943,-1.9657093,1000867,56.181305,1
full_time_y,No State EITC,All Education,Age 20-64,Incl. 2010-11,0,0,0,-2.4140835,.3122611,-3.0261154,-1.8020518,1303835,56.181305,1
full_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,1,1,1,-3.3018172,.56594759,-4.4110742,-2.1925597,806163,56.433887,1
full_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,0,1,1,-2.6626513,.72711372,-4.0877943,-1.2375083,806163,56.433887,1
full_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,1,0,1,-3.4078724,.53623694,-4.4588966,-2.356848,806163,56.433887,1
full_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,0,0,1,-2.8641145,.70614213,-4.2481532,-1.480076,806163,56.433887,1
full_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,1,1,0,-2.7144711,.40375602,-3.5058329,-1.9231093,806163,56.433887,1
full_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,0,1,0,-2.4362297,.45473358,-3.3275075,-1.5449519,806163,56.433887,1
full_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,1,0,0,-2.7768352,.35356113,-3.469815,-2.0838554,806163,56.433887,1
full_time_y,No State EITC,All Education,Age 20-49,Incl. 2010-11,0,0,0,-2.6495979,.3511104,-3.3377743,-1.9614215,806163,56.433887,1
full_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,1,1,1,-4.2203841,.56634605,-5.3304224,-3.1103456,614317,50.600975,1
full_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,0,1,1,-3.4192083,.50304312,-4.4051728,-2.433244,809419,50.600975,1
full_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,1,0,1,-4.2480326,.50083858,-5.2296762,-3.2663891,614317,50.600975,1
full_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,0,0,1,-3.1912768,.45365015,-4.080431,-2.3021226,809419,50.600975,1
full_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,1,1,0,-2.9845142,.5214709,-4.006597,-1.9624313,614317,50.600975,1
full_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,0,1,0,-2.5950167,.45649898,-3.4897547,-1.7002786,809419,50.600975,1
full_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,1,0,0,-2.9101663,.45749682,-3.80686,-2.0134726,614317,50.600975,1
full_time_y,No State EITC,Low Education,Age 20-64,Incl. 2010-11,0,0,0,-2.2670596,.42866009,-3.1072333,-1.4268857,809419,50.600975,1
full_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,1,1,1,-4.4539356,.63098496,-5.6906662,-3.2172053,489322,50.991322,1
full_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,0,1,1,-4.0123634,.7009601,-5.3862453,-2.6384819,489322,50.991322,1
full_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,1,0,1,-4.4904647,.64184302,-5.748477,-3.2324526,489322,50.991322,1
full_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,0,0,1,-4.2230411,.70329416,-5.6014972,-2.8445842,489322,50.991322,1
full_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,1,1,0,-2.9885657,.52876914,-4.0249534,-1.9521781,489322,50.991322,1
full_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,0,1,0,-2.6134729,.58298784,-3.756129,-1.4708167,489322,50.991322,1
full_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,1,0,0,-2.905086,.49285933,-3.8710902,-1.9390817,489322,50.991322,1
full_time_y,No State EITC,Low Education,Age 20-49,Incl. 2010-11,0,0,0,-2.740669,.4961035,-3.7130318,-1.768306,489322,50.991322,1
full_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,1,1,1,-2.8269196,.53374535,-3.8730605,-1.7807785,1126045,56.181305,1
full_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,0,1,1,-2.3989098,.43108308,-3.2438328,-1.553987,1465433,56.181305,1
full_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,1,0,1,-3.1772385,.47774145,-4.1136117,-2.2408652,1126045,56.181305,1
full_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,0,0,1,-2.4606175,.41045982,-3.2651188,-1.6561164,1465433,56.181305,1
full_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,1,1,0,-2.2862175,.42051935,-3.1104355,-1.4619995,1126045,56.181305,1
full_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,0,1,0,-2.3386593,.33971417,-3.0044992,-1.6728195,1465433,56.181305,1
full_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,1,0,0,-2.6443326,.32214949,-3.2757456,-2.0129197,1126045,56.181305,1
full_time_y,No EITC Change,All Education,Age 20-64,Incl. 2010-11,0,0,0,-2.4092255,.28554082,-2.9688854,-1.8495655,1465433,56.181305,1
full_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,1,1,1,-3.0249782,.58572328,-4.172996,-1.8769605,907112,56.433887,1
full_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,0,1,1,-2.4337709,.71972609,-3.844434,-1.0231079,907112,56.433887,1
full_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,1,0,1,-3.3610933,.5234741,-4.3871026,-2.335084,907112,56.433887,1
full_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,0,0,1,-2.8619826,.67055166,-4.1762638,-1.5477012,907112,56.433887,1
full_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,1,1,0,-2.4153976,.40941632,-3.2178538,-1.6129417,907112,56.433887,1
full_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,0,1,0,-2.1290033,.44831234,-3.0076954,-1.2503111,907112,56.433887,1
full_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,1,0,0,-2.7490873,.32627603,-3.3885882,-2.1095862,907112,56.433887,1
full_time_y,No EITC Change,All Education,Age 20-49,Incl. 2010-11,0,0,0,-2.6039264,.32177129,-3.2345982,-1.9732547,907112,56.433887,1
full_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,1,1,1,-3.9420974,.56454766,-5.0486107,-2.8355839,693509,50.600975,1
full_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,0,1,1,-3.2195532,.47398689,-4.1485677,-2.2905388,912595,50.600975,1
full_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,1,0,1,-4.1387134,.49772939,-5.1142631,-3.1631639,693509,50.600975,1
full_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,0,0,1,-3.1035538,.43782824,-3.9616973,-2.2454104,912595,50.600975,1
full_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,1,1,0,-2.71438,.51134145,-3.7166092,-1.7121508,693509,50.600975,1
full_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,0,1,0,-2.4302902,.43657675,-3.2859807,-1.5745997,912595,50.600975,1
full_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,1,0,0,-2.8434162,.40320563,-3.6336994,-2.0531332,693509,50.600975,1
full_time_y,No EITC Change,Low Education,Age 20-64,Incl. 2010-11,0,0,0,-2.2335875,.37672138,-2.9719615,-1.4952136,912595,50.600975,1
full_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,1,1,1,-4.1673942,.65826643,-5.4575963,-2.8771918,552713,50.991322,1
full_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,0,1,1,-3.7712994,.70687395,-5.1567721,-2.3858263,552713,50.991322,1
full_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,1,0,1,-4.4617767,.61245751,-5.6621938,-3.2613602,552713,50.991322,1
full_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,0,0,1,-4.1905751,.66973245,-5.5032506,-2.8778994,552713,50.991322,1
full_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,1,1,0,-2.6475511,.53543741,-3.6970086,-1.5980937,552713,50.991322,1
full_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,0,1,0,-2.2713759,.57623386,-3.4007943,-1.1419575,552713,50.991322,1
full_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,1,0,0,-2.8684404,.43692589,-3.7248151,-2.0120656,552713,50.991322,1
full_time_y,No EITC Change,Low Education,Age 20-49,Incl. 2010-11,0,0,0,-2.6438513,.43629655,-3.4989927,-1.7887101,552713,50.991322,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,1,1,1,-3.4847126,.64958501,-4.7578993,-2.2115262,342907,55.60537,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,0,1,1,-2.4232516,.68230093,-3.7605615,-1.0859418,445064,55.60537,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,1,0,1,-3.3407755,.56099671,-4.4403291,-2.2412219,342907,55.60537,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,0,0,1,-2.4465749,.45169598,-3.3318992,-1.5612508,445064,55.60537,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,1,1,0,-3.2152877,.85711378,-4.8952308,-1.5353447,342907,55.60537,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,0,1,0,-2.1967163,.87774295,-3.9170926,-.47634017,445064,55.60537,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,1,0,0,-2.9681067,.62360388,-4.1903706,-1.7458432,342907,55.60537,1
full_time_y,Medicaid Expansion,All Education,Age 20-64,Excl. 2010-11,0,0,0,-2.144129,.52585202,-3.174799,-1.113459,445064,55.60537,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,1,1,1,-3.5669527,.81632727,-5.166954,-1.9669511,278467,55.834126,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,0,1,1,-3.138665,.88670725,-4.8766112,-1.4007188,278467,55.834126,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,1,0,1,-3.2905595,.78473204,-4.8286343,-1.7524848,278467,55.834126,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,0,0,1,-2.8885393,.85504806,-4.5644336,-1.2126452,278467,55.834126,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,1,1,0,-3.2253261,.98800975,-5.1618252,-1.2888268,278467,55.834126,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,0,1,0,-2.7706282,1.0670646,-4.8620749,-.67918169,278467,55.834126,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,1,0,0,-2.8150165,.82622468,-4.4344168,-1.1956162,278467,55.834126,1
full_time_y,Medicaid Expansion,All Education,Age 20-49,Excl. 2010-11,0,0,0,-2.3782423,.89954233,-4.1413455,-.61513931,278467,55.834126,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,1,1,1,-4.4510379,.92345756,-6.2610149,-2.6410611,196107,49.804935,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,0,1,1,-3.5012643,.76450026,-4.9996848,-2.0028439,258054,49.804935,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,1,0,1,-4.1344953,.73724091,-5.5794873,-2.689503,196107,49.804935,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,0,0,1,-2.9773233,.57254541,-4.0995121,-1.8551344,258054,49.804935,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,1,1,0,-3.9812298,1.1292089,-6.1944795,-1.7679801,196107,49.804935,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,0,1,0,-3.246094,.87018108,-4.9516492,-1.5405391,258054,49.804935,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,1,0,0,-3.5558503,.8021152,-5.127996,-1.9837046,196107,49.804935,1
full_time_y,Medicaid Expansion,Low Education,Age 20-64,Excl. 2010-11,0,0,0,-2.6286032,.59825873,-3.8011904,-1.4560162,258054,49.804935,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,1,1,1,-4.5096836,1.0991037,-6.6639271,-2.3554406,156672,50.184528,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,0,1,1,-4.5102715,1.0461224,-6.5606713,-2.4598718,156672,50.184528,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,1,0,1,-4.0617642,.95979112,-5.9429545,-2.1805735,156672,50.184528,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,0,0,1,-3.9713435,.97577858,-5.8838696,-2.0588174,156672,50.184528,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,1,1,0,-3.7770207,1.2788264,-6.2835202,-1.2705209,156672,50.184528,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,0,1,0,-3.7691879,1.2722564,-6.2628102,-1.2755653,156672,50.184528,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,1,0,0,-3.181452,1.0766062,-5.2916002,-1.0713041,156672,50.184528,1
full_time_y,Medicaid Expansion,Low Education,Age 20-49,Excl. 2010-11,0,0,0,-3.073457,1.0784235,-5.1871672,-.95974696,156672,50.184528,1
full_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,1,1,1,-3.1784179,.44787803,-4.0562592,-2.3005772,750679,55.60537,1
full_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,0,1,1,-2.6275704,.47394592,-3.5565042,-1.6986363,981311,55.60537,1
full_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,1,0,1,-3.2936134,.41629514,-4.1095519,-2.477675,750679,55.60537,1
full_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,0,0,1,-2.7451558,.45968762,-3.6461434,-1.8441679,981311,55.60537,1
full_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,1,1,0,-2.3329089,.56423873,-3.4388168,-1.227001,750679,55.60537,1
full_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,0,1,0,-2.0997751,.42252651,-2.927927,-1.2716231,981311,55.60537,1
full_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,1,0,0,-2.2992907,.39551598,-3.074502,-1.5240793,750679,55.60537,1
full_time_y,No State EITC,All Education,Age 20-64,Excl. 2010-11,0,0,0,-2.1389794,.32220352,-2.7704985,-1.5074606,981311,55.60537,1
full_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,1,1,1,-3.374305,.58748484,-4.5257754,-2.2228348,605562,55.834126,1
full_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,0,1,1,-2.8808427,.65099579,-4.1567945,-1.6048909,605562,55.834126,1
full_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,1,0,1,-3.4229147,.54530227,-4.4917073,-2.3541222,605562,55.834126,1
full_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,0,0,1,-2.9424763,.64831382,-4.2131715,-1.6717813,605562,55.834126,1
full_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,1,1,0,-2.593148,.57509738,-3.7203388,-1.4659572,605562,55.834126,1
full_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,0,1,0,-2.3380663,.57544267,-3.465934,-1.2101988,605562,55.834126,1
full_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,1,0,0,-2.4884019,.40924254,-3.2905173,-1.6862866,605562,55.834126,1
full_time_y,No State EITC,All Education,Age 20-49,Excl. 2010-11,0,0,0,-2.302897,.38448346,-3.0564845,-1.5493093,605562,55.834126,1
full_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,1,1,1,-4.1327386,.55108649,-5.2128682,-3.052609,454344,49.804935,1
full_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,0,1,1,-3.5852354,.7184965,-4.9934883,-2.1769822,601637,49.804935,1
full_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,1,0,1,-4.2396708,.45753783,-5.136445,-3.3428965,454344,49.804935,1
full_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,0,0,1,-3.4589648,.66986692,-4.771904,-2.1460257,601637,49.804935,1
full_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,1,1,0,-2.6084323,.72067064,-4.020947,-1.1959177,454344,49.804935,1
full_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,0,1,0,-2.3650761,.66304314,-3.6646407,-1.0655115,601637,49.804935,1
full_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,1,0,0,-2.4861801,.50861651,-3.4830685,-1.4892917,454344,49.804935,1
full_time_y,No State EITC,Low Education,Age 20-64,Excl. 2010-11,0,0,0,-1.992468,.47973311,-2.932745,-1.0521911,601637,49.804935,1
full_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,1,1,1,-4.2119198,.82611412,-5.8311033,-2.592736,361865,50.184528,1
full_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,0,1,1,-4.0525398,.84628552,-5.7112594,-2.39382,361865,50.184528,1
full_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,1,0,1,-4.3130779,.6920194,-5.669436,-2.9567201,361865,50.184528,1
full_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,0,0,1,-4.0988593,.74123329,-5.5516768,-2.6460421,361865,50.184528,1
full_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,1,1,0,-2.6164787,.81828034,-4.2203083,-1.0126492,361865,50.184528,1
full_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,0,1,0,-2.4428577,.90758848,-4.2217312,-.66398436,361865,50.184528,1
full_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,1,0,0,-2.4883153,.53165585,-3.5303609,-1.4462699,361865,50.184528,1
full_time_y,No State EITC,Low Education,Age 20-49,Excl. 2010-11,0,0,0,-2.2428408,.55822355,-3.3369589,-1.1487225,361865,50.184528,1
full_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,1,1,1,-3.217644,.48050237,-4.1594286,-2.2758594,844610,55.60537,1
full_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,0,1,1,-2.8131521,.41922948,-3.6348417,-1.9914622,1102976,55.60537,1
full_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,1,0,1,-3.119508,.45388624,-4.0091252,-2.2298908,844610,55.60537,1
full_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,0,0,1,-2.6047778,.4475342,-3.4819448,-1.7276107,1102976,55.60537,1
full_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,1,1,0,-2.5165102,.53910625,-3.5731585,-1.459862,844610,55.60537,1
full_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,0,1,0,-2.4341276,.40552077,-3.2289484,-1.6393069,1102976,55.60537,1
full_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,1,0,0,-2.2640572,.35928124,-2.9682484,-1.5598658,844610,55.60537,1
full_time_y,No EITC Change,All Education,Age 20-64,Excl. 2010-11,0,0,0,-2.0970781,.29590428,-2.6770504,-1.5171056,1102976,55.60537,1
full_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,1,1,1,-3.4164035,.59979129,-4.5919943,-2.2408125,681382,55.834126,1
full_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,0,1,1,-2.9569633,.63841391,-4.2082543,-1.705672,681382,55.834126,1
full_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,1,0,1,-3.2683196,.55579364,-4.3576751,-2.1789639,681382,55.834126,1
full_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,0,0,1,-2.8451927,.63092399,-4.0818038,-1.6085818,681382,55.834126,1
full_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,1,1,0,-2.7314,.54507262,-3.7997425,-1.6630576,681382,55.834126,1
full_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,0,1,0,-2.4418974,.52273428,-3.4664564,-1.4173381,681382,55.834126,1
full_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,1,0,0,-2.4175048,.3793031,-3.160939,-1.6740707,681382,55.834126,1
full_time_y,No EITC Change,All Education,Age 20-49,Excl. 2010-11,0,0,0,-2.2059481,.35134479,-2.8945839,-1.5173123,681382,55.834126,1
